group,subgroup,shap value,cluster,type
Houses without water pipelines,class 1,0.392082583,all,dengue
Mean Min Temp,class 0,0.5312293060000001,non,dengue
Population without health services,class 0,0.474353866,non,zika
Houses without toilet,class 0,1.163221527,non,zika
Max mm/day,class 1,0.165632766,all,zika
Mean mm/day,class 1,0.399509648,non,dengue
Houses without toilet,class 1,0.196809907,all,chkk
Mean Max Temp,class 1,0.639553217,all,chkk
Altitude,class 0,0.085944,all,chkk
Houses with floor of dirt,class 0,0.167421685,non,zika
Altitude,class 1,0.015934337,all,zika
Min mm/day,class 1,0.014393798000000001,non,zika
Mean Temp,class 0,0.148735422,all,dengue
Houses with floor of dirt,class 0,0.21322347600000002,all,zika
Altitude,class 1,0.08699801800000001,all,chkk
Population without health services,class 1,0.310959954,all,dengue
Mean Min Temp,class 1,0.336832395,all,dengue
Illiteracy,class 1,0.8140842140000001,all,chkk
Mean Temp,class 0,0.001,non,zika
Max mm/day,class 1,0.8369739340000001,non,zika
Altitude,class 0,0.016217488999999998,all,zika
Max mm/day,class 1,0.39112870899999996,non,dengue
Min mm/day,class 0,0.02495656,all,chkk
Houses without water pipelines,class 0,0.300201848,all,chkk
Min mm/day,class 1,0.018201936999999998,non,zika
Mean Min Temp,class 0,0.207425925,all,zika
Max mm/day,class 1,0.792965149,non,zika
Mean Max Temp,class 1,0.589057602,all,chkk
Houses without sewage,class 0,0.045736628,non,zika
Houses without sewage,class 1,0.38587897,all,chkk
Max mm/day,class 0,0.751033737,non,zika
Mean Max Temp,class 1,0.924103088,non,chkk
Houses without electricity,class 0,0.40559879,all,dengue
Houses without sewage,class 1,0.398121537,all,zika
Mean Min Temp,class 0,0.359904489,all,dengue
Houses without toilet,class 0,1.191508757,non,zika
Houses without toilet,class 1,0.407571605,all,zika
Mean Min Temp,class 1,0.249563833,all,zika
Min mm/day,class 1,0.029759453999999998,non,chkk
Houses without electricity,class 1,0.026006015,non,chkk
Houses without toilet,class 1,0.217746489,all,chkk
Houses without sewage,class 1,0.365381726,all,zika
Houses with floor of dirt,class 0,0.182775832,all,zika
Mean Temp,class 1,0.021874162000000003,non,chkk
Houses without sewage,class 1,0.522895309,all,dengue
Illiteracy,class 1,0.735374402,non,zika
Mean Temp,class 0,0.29770859899999996,all,zika
Illiteracy,class 1,0.663627499,all,dengue
Mean Min Temp,class 0,0.32775668199999997,all,dengue
Mean mm/day,class 0,0.42850295299999996,non,zika
Mean Max Temp,class 1,0.556862458,all,chkk
Mean Temp,class 0,0.275922862,all,zika
Mean Temp,class 1,0.180168335,all,chkk
Mean Max Temp,class 0,0.306675765,non,dengue
Houses without toilet,class 0,0.47797252700000004,non,dengue
Mean mm/day,class 1,0.312269766,all,dengue
Mean Temp,class 1,0.009438414000000001,non,chkk
Houses without sewage,class 1,0.342424447,all,zika
Min mm/day,class 0,0.028651674,non,zika
Min mm/day,class 0,0.001,non,dengue
Illiteracy,class 0,0.307004669,non,chkk
Houses without electricity,class 1,0.604651697,non,zika
Houses without sewage,class 1,0.203624246,non,chkk
Max mm/day,class 1,0.273072414,all,chkk
Mean mm/day,class 0,0.379148991,non,chkk
Houses without water pipelines,class 1,0.42146583200000004,non,zika
Houses without sewage,class 0,0.16873806100000002,non,chkk
Houses without electricity,class 0,0.09834702699999999,all,zika
Houses without sewage,class 1,0.361728999,all,chkk
Houses without sewage,class 0,0.479831587,all,chkk
Mean Max Temp,class 1,0.639481975,all,chkk
Houses without electricity,class 1,0.072794653,all,zika
Houses without water pipelines,class 1,0.287516623,non,dengue
Illiteracy,class 0,0.944909993,all,zika
Min mm/day,class 0,0.057858117,non,chkk
Altitude,class 0,0.010759451000000001,non,dengue
Houses without water pipelines,class 0,0.407981705,all,dengue
Min mm/day,class 1,0.027175357,non,chkk
Mean Temp,class 0,0.110067604,all,chkk
Altitude,class 0,0.095447512,all,chkk
Min mm/day,class 0,0.036803273,non,zika
Houses without toilet,class 1,0.167821716,all,chkk
Population without health services,class 0,0.814330109,all,zika
Population without health services,class 0,0.319526429,non,chkk
Max mm/day,class 1,0.802421105,non,zika
Mean Min Temp,class 1,0.46957448,non,dengue
Mean Max Temp,class 1,0.475006465,all,dengue
Altitude,class 1,0.003304242,all,dengue
Illiteracy,class 0,0.6943887329999999,non,zika
Mean Min Temp,class 1,0.19218220000000003,all,zika
Houses without toilet,class 0,0.436420184,non,dengue
Population without health services,class 1,0.903227773,all,zika
Population without health services,class 1,0.36520528399999996,non,chkk
Altitude,class 0,0.021238587000000003,non,dengue
Mean Max Temp,class 1,0.587013766,all,chkk
Population without health services,class 1,1.152489536,all,chkk
Houses without water pipelines,class 0,0.1733307,non,chkk
Mean Min Temp,class 1,0.44933914399999997,all,chkk
Houses without toilet,class 1,0.38282687200000004,all,zika
Houses without toilet,class 0,0.457002856,non,dengue
Mean Max Temp,class 0,0.219184021,all,zika
Mean Temp,class 1,0.333145685,all,zika
Max mm/day,class 0,0.29592934600000004,all,dengue
Max mm/day,class 0,0.29392706399999996,all,chkk
Houses without toilet,class 0,0.77119882,non,chkk
Population without health services,class 1,0.306084733,all,dengue
Altitude,class 0,0.011771173000000001,non,chkk
Illiteracy,class 0,0.8912135290000001,all,zika
Mean mm/day,class 0,0.25995602100000004,all,zika
Houses without toilet,class 0,0.43832928600000004,all,dengue
Mean mm/day,class 0,0.303264687,all,zika
Mean mm/day,class 1,0.325496177,all,dengue
Mean Temp,class 1,0.033085911,non,chkk
Mean Temp,class 1,0.3,all,zika
Houses without electricity,class 1,0.293039049,non,dengue
Mean Max Temp,class 0,0.30310151,non,dengue
Altitude,class 1,0.017346786,all,dengue
Altitude,class 0,0.001,all,dengue
Altitude,class 0,0.010287277,all,dengue
Altitude,class 0,0.052441072000000005,non,zika
Mean mm/day,class 0,0.26040086100000004,all,dengue
Mean Temp,class 1,0.31269420600000003,all,zika
Mean Min Temp,class 1,0.466770919,all,chkk
Mean mm/day,class 1,0.36789274,non,dengue
Altitude,class 1,0.001369703,non,chkk
Houses without sewage,class 0,0.322384615,all,zika
Max mm/day,class 0,0.71599122,non,zika
Houses without electricity,class 1,0.583652597,non,zika
Mean Min Temp,class 1,0.435929261,all,chkk
Houses without sewage,class 1,0.372620076,all,zika
Min mm/day,class 1,0.051852378,non,chkk
Max mm/day,class 0,0.020646498,non,chkk
Houses without water pipelines,class 1,0.355465949,all,chkk
Mean mm/day,class 0,0.24547785100000002,all,zika
Max mm/day,class 0,0.065428634,non,chkk
Population without health services,class 0,0.8704202940000001,all,zika
Houses without water pipelines,class 0,0.111657583,non,chkk
Houses without electricity,class 0,0.009016376999999999,non,chkk
Houses without sewage,class 0,0.182878478,non,chkk
Mean Min Temp,class 0,0.23466972100000003,all,zika
Mean Temp,class 1,0.12430701400000001,all,dengue
Altitude,class 1,0.069029496,all,chkk
Houses with floor of dirt,class 1,0.581827428,non,chkk
Altitude,class 0,0.01999162,all,dengue
Mean Max Temp,class 1,0.306727884,non,dengue
Mean Max Temp,class 0,0.289141184,non,dengue
Houses without sewage,class 0,0.477347181,all,dengue
Mean Temp,class 0,0.697222872,non,dengue
Min mm/day,class 0,0.007080052,all,chkk
Max mm/day,class 1,0.39556132,non,dengue
Mean mm/day,class 1,0.40405874,non,chkk
Max mm/day,class 0,0.041656772,non,chkk
Max mm/day,class 0,0.720139141,non,zika
Mean Temp,class 0,0.306301177,all,zika
Houses with floor of dirt,class 0,0.259434696,all,zika
Houses without water pipelines,class 0,0.269122,non,dengue
Houses with floor of dirt,class 0,0.204666088,non,dengue
Houses without water pipelines,class 0,0.140698781,non,chkk
Houses without toilet,class 0,0.47715986200000005,all,dengue
Houses without toilet,class 0,0.44844421,all,dengue
Houses without electricity,class 0,0.297237865,non,dengue
Max mm/day,class 1,0.7989282870000001,non,zika
Mean Min Temp,class 0,0.233152007,all,zika
Houses with floor of dirt,class 0,0.16222727,non,zika
Population without health services,class 0,0.7488044970000001,non,dengue
Max mm/day,class 0,0.7110051470000001,non,zika
Houses with floor of dirt,class 0,0.47965296700000004,non,chkk
Houses without sewage,class 1,0.538670697,all,dengue
Max mm/day,class 0,0.284973073,all,dengue
Mean Max Temp,class 1,0.185486905,all,zika
Houses without water pipelines,class 1,0.455248029,non,zika
Mean Min Temp,class 0,0.37446865799999995,all,dengue
Population without health services,class 1,0.749805044,non,dengue
Population without health services,class 0,0.44377317899999996,non,zika
Houses without sewage,class 1,0.001,non,zika
Population without health services,class 0,0.721483102,non,dengue
Houses without electricity,class 1,0.384375979,all,dengue
Mean mm/day,class 1,0.365847583,non,zika
Mean Temp,class 1,0.019816775,non,zika
Mean Max Temp,class 0,0.46168514200000005,all,dengue
Houses without water pipelines,class 1,0.30268968,non,dengue
Mean mm/day,class 1,0.37860649799999996,non,chkk
Houses without electricity,class 1,0.303785476,non,dengue
Mean Min Temp,class 1,0.38960686,all,dengue
Mean mm/day,class 1,0.40522483600000003,non,chkk
Mean mm/day,class 0,0.441062348,non,zika
Altitude,class 0,0.009364893000000001,non,dengue
Illiteracy,class 0,0.7257434340000001,all,dengue
Min mm/day,class 0,0.010298291,all,dengue
Houses without water pipelines,class 1,0.473441028,non,zika
Max mm/day,class 1,0.18700455300000002,all,zika
Altitude,class 1,0.06314001400000001,non,chkk
Illiteracy,class 0,0.63508682,non,zika
Min mm/day,class 1,0.020549628,all,zika
Altitude,class 0,0.009759292,all,dengue
Houses without sewage,class 1,0.364934651,all,zika
Mean Temp,class 1,0.169130946,all,chkk
Houses without water pipelines,class 1,0.558384994,all,zika
Mean Max Temp,class 0,0.9690884679999999,non,chkk
Houses without sewage,class 1,0.46321014,non,dengue
Mean Max Temp,class 1,0.472759176,all,dengue
Mean Min Temp,class 1,0.143877155,all,zika
Population without health services,class 1,1.150707081,all,chkk
Mean Min Temp,class 1,0.45821976299999995,non,dengue
Altitude,class 1,0.010186934,non,chkk
Mean Temp,class 1,0.012601079,non,zika
Houses without water pipelines,class 1,0.518901408,all,zika
Mean Max Temp,class 1,0.468172439,all,dengue
Max mm/day,class 0,0.275477933,all,dengue
Mean Max Temp,class 1,0.932812325,non,chkk
Mean Min Temp,class 0,0.5050730729999999,non,dengue
Houses without electricity,class 1,0.42286474399999996,all,dengue
Houses with floor of dirt,class 1,0.256443,non,dengue
Illiteracy,class 1,0.22363955800000002,non,chkk
Population without health services,class 1,0.35125036600000004,all,dengue
Houses without water pipelines,class 0,0.36295561,all,dengue
Mean Min Temp,class 1,0.338524106,all,dengue
Population without health services,class 1,0.8882077840000001,all,zika
Mean Min Temp,class 0,0.532599453,non,dengue
Mean Min Temp,class 1,0.450303632,all,chkk
Mean Min Temp,class 0,0.25075217699999997,all,zika
Population without health services,class 0,1.222422498,all,chkk
Illiteracy,class 0,0.7161749940000001,non,zika
Min mm/day,class 0,0.001,non,chkk
Max mm/day,class 1,0.010849796,non,chkk
Mean Temp,class 0,0.063694168,non,zika
Mean Max Temp,class 0,0.998872083,non,chkk
Houses without toilet,class 1,0.388967396,all,zika
Illiteracy,class 0,0.6772470740000001,non,zika
Mean Temp,class 1,0.724204831,non,dengue
Illiteracy,class 1,0.835894295,all,zika
Houses with floor of dirt,class 1,0.226984567,non,dengue
Altitude,class 0,0.001,non,dengue
Mean mm/day,class 0,0.18927726,all,chkk
Houses without water pipelines,class 1,0.400890745,all,chkk
Houses without water pipelines,class 1,0.56,all,zika
Illiteracy,class 1,0.71837321,non,zika
Houses without electricity,class 1,0.586396974,non,zika
Houses without water pipelines,class 1,0.307212934,all,chkk
Illiteracy,class 1,0.209447298,non,chkk
Mean mm/day,class 0,0.153162771,all,chkk
Mean Min Temp,class 1,0.001,non,chkk
Max mm/day,class 1,0.040514999999999995,non,chkk
Population without health services,class 1,0.30129689600000004,all,dengue
Houses without sewage,class 0,0.480207075,all,dengue
Population without health services,class 1,1.1373486720000001,all,chkk
Min mm/day,class 1,0.001,all,chkk
Houses without electricity,class 1,0.015472015,non,chkk
Mean Max Temp,class 1,0.482864933,all,dengue
Houses with floor of dirt,class 1,0.552973397,non,chkk
Houses without electricity,class 1,0.593974455,non,zika
Houses without sewage,class 1,0.49428512399999996,non,dengue
Houses without toilet,class 1,0.385151851,all,zika
Min mm/day,class 1,0.010714495,non,dengue
Mean Min Temp,class 0,0.524662669,non,dengue
Houses without toilet,class 1,0.41173582,all,zika
Mean Min Temp,class 0,0.015582513999999999,non,chkk
Houses without sewage,class 0,0.27157055399999996,all,zika
Mean mm/day,class 0,0.458976318,non,zika
Houses without electricity,class 1,0.067072954,all,zika
Mean Min Temp,class 0,0.380690294,all,dengue
Houses without water pipelines,class 0,0.128952998,non,chkk
Houses without sewage,class 0,0.284236347,all,zika
Mean Temp,class 0,0.020996387999999998,non,chkk
Houses without sewage,class 1,0.385611645,all,chkk
Population without health services,class 0,0.7112476,non,dengue
Min mm/day,class 0,0.001,non,dengue
Houses without electricity,class 1,0.028448262999999998,non,chkk
Mean Max Temp,class 0,0.5936488289999999,all,chkk
Mean Max Temp,class 1,0.9069070659999999,non,chkk
Houses without toilet,class 0,1.151600314,non,zika
Mean Max Temp,class 0,0.225473738,all,zika
Max mm/day,class 0,0.38211659200000003,non,dengue
Mean mm/day,class 0,0.39785367200000005,non,dengue
Mean Temp,class 0,0.180891592,all,dengue
Population without health services,class 1,0.317321005,all,dengue
Houses without electricity,class 1,0.583662731,non,zika
Min mm/day,class 0,0.001,all,dengue
Houses without sewage,class 0,0.18576306,non,chkk
Houses without electricity,class 0,0.395469439,all,dengue
Min mm/day,class 0,0.010666746000000001,all,zika
Houses with floor of dirt,class 1,0.17553862899999997,non,zika
Illiteracy,class 0,0.474988828,non,dengue
Altitude,class 0,0.031172957999999997,all,dengue
Houses without water pipelines,class 0,0.402683271,non,zika
Houses without toilet,class 1,0.20028037,all,chkk
Mean mm/day,class 1,0.270398282,all,dengue
Mean mm/day,class 0,0.44928461700000005,non,zika
Max mm/day,class 0,0.062717238,non,chkk
Min mm/day,class 0,0.013822253,non,dengue
Mean Temp,class 1,0.09981781699999999,all,dengue
Max mm/day,class 0,0.736491978,non,zika
Illiteracy,class 1,0.6507279779999999,all,dengue
Mean mm/day,class 1,0.232444835,all,chkk
Mean Min Temp,class 0,0.020420959,non,chkk
Houses without electricity,class 0,0.023568082,non,chkk
Houses without sewage,class 0,0.448695186,all,chkk
Population without health services,class 0,0.833617064,all,zika
Houses without sewage,class 0,0.19094395,non,chkk
Illiteracy,class 1,0.73,non,zika
Max mm/day,class 1,0.30355508600000003,all,chkk
Houses without sewage,class 1,0.337639879,all,zika
Min mm/day,class 1,0.020525483,non,chkk
Min mm/day,class 1,0.033495593,all,dengue
Houses without water pipelines,class 0,0.595758142,all,zika
Illiteracy,class 1,0.699577804,all,dengue
Population without health services,class 0,0.34212427799999995,all,dengue
Altitude,class 1,0.013914283999999999,non,zika
Population without health services,class 0,1.20316745,all,chkk
Population without health services,class 1,0.35768521299999995,non,chkk
Houses without toilet,class 1,0.417497414,all,zika
Illiteracy,class 1,0.491236765,non,dengue
Mean Temp,class 0,0.058541502999999995,non,zika
Max mm/day,class 0,0.37750228700000005,non,dengue
Houses without toilet,class 0,0.41082925600000003,all,chkk
Altitude,class 0,0.031333968999999996,non,zika
Houses without electricity,class 0,0.270186138,non,dengue
Mean Min Temp,class 1,0.48,non,dengue
Mean Max Temp,class 1,0.197716375,all,zika
Illiteracy,class 0,0.892866475,all,zika
Houses without electricity,class 1,0.07843794700000001,all,zika
Mean Min Temp,class 1,0.12344506599999999,all,zika
Houses without toilet,class 1,0.23035351199999998,all,chkk
Altitude,class 1,0.014579196,non,zika
Altitude,class 0,0.001,non,zika
Mean Max Temp,class 0,0.22548927300000002,all,zika
Mean Max Temp,class 0,0.9814565279999999,non,chkk
Houses without toilet,class 1,0.19208731,all,chkk
Altitude,class 1,0.02850412,non,zika
Min mm/day,class 0,0.001,non,chkk
Mean Max Temp,class 0,0.985356978,non,chkk
Mean Temp,class 0,0.02694468,non,chkk
Houses without toilet,class 1,0.42152464700000003,non,dengue
Population without health services,class 0,0.7419027340000001,non,dengue
Illiteracy,class 0,0.46712202700000005,non,dengue
Houses without electricity,class 0,0.02,non,chkk
Population without health services,class 0,0.842010355,all,zika
Houses without electricity,class 0,0.42650565100000004,all,dengue
Mean Max Temp,class 1,0.19739819,all,zika
Houses with floor of dirt,class 1,0.165899687,all,zika
Houses without sewage,class 1,0.520589819,all,dengue
Mean Temp,class 1,0.164610483,all,chkk
Mean Temp,class 0,0.001,non,zika
Illiteracy,class 0,0.9028121590000001,all,zika
Mean Max Temp,class 1,0.456919309,all,dengue
Houses without sewage,class 1,0.502319602,all,dengue
Max mm/day,class 0,0.28261828,all,chkk
Houses without sewage,class 0,0.474554288,all,dengue
Mean Max Temp,class 0,0.262986644,non,zika
Houses without water pipelines,class 0,0.415625115,all,dengue
Houses without water pipelines,class 0,0.39543955700000005,non,zika
Mean Min Temp,class 0,0.484474584,non,dengue
Min mm/day,class 1,0.012837168000000001,non,zika
Mean Temp,class 0,0.691641342,non,dengue
Altitude,class 1,0.03606992,all,dengue
Illiteracy,class 1,0.203711057,non,chkk
Population without health services,class 0,0.45136023299999994,non,zika
Max mm/day,class 1,0.793305982,non,zika
Max mm/day,class 0,0.398013994,non,dengue
Mean mm/day,class 1,0.406772906,non,dengue
Houses without toilet,class 0,0.41161047,all,chkk
Houses without water pipelines,class 0,0.30023431100000003,non,dengue
Population without health services,class 0,0.764888073,non,dengue
Houses without water pipelines,class 1,0.5591724920000001,all,zika
Mean Max Temp,class 0,0.21429324600000002,non,zika
Mean Min Temp,class 0,0.21560970000000002,all,zika
Mean Min Temp,class 1,0.021216271000000002,non,zika
Houses without water pipelines,class 0,0.40518783700000005,non,zika
Houses without sewage,class 0,0.20660894600000002,non,chkk
Population without health services,class 1,0.363373933,non,chkk
Houses without electricity,class 0,0.561142432,non,zika
Houses without water pipelines,class 1,0.5587334079999999,all,zika
Illiteracy,class 1,0.8202542540000001,all,chkk
Houses without water pipelines,class 1,0.404633855,all,dengue
Houses without electricity,class 0,0.298490701,non,dengue
Houses without toilet,class 1,0.487257626,all,dengue
Illiteracy,class 0,0.48175996,non,dengue
Mean Temp,class 0,0.02505475,non,zika
Illiteracy,class 1,0.505849497,non,dengue
Mean mm/day,class 0,0.29520127,all,zika
Houses without water pipelines,class 1,0.455296385,non,zika
Altitude,class 1,0.09083686199999999,all,chkk
Mean mm/day,class 0,0.159441535,all,chkk
Mean Min Temp,class 0,0.11702295199999999,non,zika
Houses without electricity,class 0,0.563167519,all,chkk
Altitude,class 1,0.08463294199999999,all,chkk
Mean Min Temp,class 1,0.49536213,non,dengue
Houses without sewage,class 0,0.460758847,all,chkk
Houses without toilet,class 0,0.465348174,non,dengue
Houses without toilet,class 0,0.481274107,non,dengue
Altitude,class 1,0.026499577000000003,non,zika
Houses without toilet,class 1,0.38383339899999996,all,zika
Population without health services,class 1,0.903534828,all,zika
Min mm/day,class 0,0.017593707,all,dengue
Max mm/day,class 0,0.0717301,non,chkk
Houses without water pipelines,class 0,0.121863195,non,chkk
Mean Max Temp,class 1,0.268226391,non,dengue
Min mm/day,class 0,0.019059558,non,dengue
Mean Max Temp,class 1,0.299036957,non,dengue
Mean Min Temp,class 0,0.001,non,chkk
Illiteracy,class 0,0.7705444920000001,all,chkk
Mean mm/day,class 1,0.32642397300000003,all,dengue
Mean mm/day,class 0,0.41956245799999997,non,zika
Mean mm/day,class 0,0.256798472,all,dengue
Houses without sewage,class 0,0.295154662,all,zika
Houses without water pipelines,class 0,0.404654943,all,dengue
Max mm/day,class 0,0.059149047999999996,non,chkk
Houses without sewage,class 0,0.30294651,all,zika
Houses with floor of dirt,class 0,0.618953632,all,dengue
Houses without water pipelines,class 0,0.250211925,non,dengue
Mean Temp,class 1,0.182618041,all,chkk
Houses without toilet,class 1,0.834278083,non,chkk
Houses with floor of dirt,class 1,0.597213316,all,dengue
Houses without electricity,class 1,0.066662679,all,zika
Houses without toilet,class 1,0.84901913,non,chkk
Max mm/day,class 0,0.393800366,non,dengue
Mean Temp,class 1,0.026760127999999998,non,chkk
Mean Min Temp,class 0,0.013674878,non,chkk
Mean Temp,class 0,0.681036031,non,dengue
Max mm/day,class 1,0.350309595,all,dengue
Mean Max Temp,class 0,0.264580129,non,dengue
Mean Temp,class 0,0.289186387,all,zika
Houses with floor of dirt,class 0,0.225885599,non,zika
Houses without toilet,class 1,0.415970445,all,zika
Houses without electricity,class 0,0.055964981,non,chkk
Mean Min Temp,class 0,0.001,non,chkk
Max mm/day,class 0,0.22153822399999998,all,zika
Max mm/day,class 0,0.386783043,non,dengue
Max mm/day,class 0,0.272993657,all,chkk
Min mm/day,class 1,0.013919508999999998,non,dengue
Houses with floor of dirt,class 0,0.211543774,non,dengue
Houses without sewage,class 0,0.551486747,all,chkk
Houses without sewage,class 0,0.441432925,non,dengue
Min mm/day,class 1,0.06039067,all,chkk
Min mm/day,class 0,0.010329066,all,chkk
Houses without water pipelines,class 1,0.45500449,non,zika
Mean Temp,class 1,0.099863955,all,dengue
Houses without sewage,class 0,0.31356386399999997,all,zika
Houses without electricity,class 0,0.274533387,non,dengue
Mean Temp,class 1,0.01844623,non,zika
Houses without toilet,class 1,1.170080728,non,zika
Mean Max Temp,class 1,0.90297848,non,chkk
Altitude,class 0,0.0024815279999999998,non,dengue
Houses with floor of dirt,class 1,0.581760287,non,chkk
Mean mm/day,class 1,0.389314183,non,dengue
Houses without water pipelines,class 0,0.320803764,all,chkk
Mean mm/day,class 1,0.22,all,chkk
Illiteracy,class 0,0.283892319,non,chkk
Houses without water pipelines,class 1,0.178428705,non,chkk
Mean Max Temp,class 1,0.177296665,non,zika
Mean mm/day,class 0,0.21000888399999998,all,chkk
Population without health services,class 1,1.153421119,all,chkk
Max mm/day,class 1,0.7788514209999999,non,zika
Houses without toilet,class 1,0.40453358,all,zika
Mean Min Temp,class 0,0.25050548100000003,all,zika
Houses without electricity,class 1,0.303536794,non,dengue
Mean Max Temp,class 1,0.639267855,all,chkk
Houses without sewage,class 0,0.523031035,all,dengue
Houses without sewage,class 1,0.002777638,non,zika
Altitude,class 0,0.00963693,non,chkk
Houses without toilet,class 0,0.505777723,all,dengue
Mean Min Temp,class 0,0.389879314,all,dengue
Mean Min Temp,class 1,0.463352394,non,dengue
Houses without sewage,class 0,0.300856621,all,zika
Mean mm/day,class 0,0.419804212,non,dengue
Mean Max Temp,class 1,0.331764121,non,dengue
Mean Max Temp,class 1,0.142341408,all,zika
Mean Min Temp,class 0,0.22,all,zika
Min mm/day,class 1,0.046229782000000004,all,chkk
Mean Min Temp,class 1,0.189726988,all,zika
Mean Temp,class 0,0.274927114,all,zika
Max mm/day,class 1,0.45780936,non,dengue
Illiteracy,class 0,0.908426463,all,zika
Min mm/day,class 1,0.010233459,all,dengue
Houses without sewage,class 0,0.19741292600000002,non,chkk
Illiteracy,class 1,0.83,all,zika
Houses with floor of dirt,class 0,0.616375689,all,dengue
Houses without electricity,class 1,0.289774166,non,dengue
Mean mm/day,class 0,0.42,non,dengue
Min mm/day,class 1,0.011170638,non,zika
Altitude,class 0,0.044703791,all,zika
Mean Max Temp,class 0,0.188811002,all,zika
Houses without toilet,class 0,0.41161899999999996,all,zika
Mean mm/day,class 1,0.463006095,non,chkk
Mean Temp,class 1,0.174525404,all,chkk
Population without health services,class 0,0.773435487,non,dengue
Mean Temp,class 1,0.729821365,non,dengue
Min mm/day,class 1,0.036756044,non,chkk
Houses without sewage,class 1,0.178322846,non,chkk
Houses without toilet,class 1,0.426014455,all,zika
Max mm/day,class 0,0.716753048,non,zika
Houses without toilet,class 1,0.836611753,non,chkk
Altitude,class 1,0.138569842,all,chkk
Houses with floor of dirt,class 1,0.163506481,non,zika
Houses without water pipelines,class 0,0.370419854,all,dengue
Houses without electricity,class 0,0.554816024,non,zika
Houses without electricity,class 0,0.544014281,all,chkk
Mean Temp,class 1,0.30542695,all,zika
Houses with floor of dirt,class 1,0.17511698399999998,all,zika
Population without health services,class 0,0.861992643,all,zika
Houses without sewage,class 1,0.365973149,all,zika
Houses without toilet,class 1,0.39442165,all,zika
Altitude,class 1,0.000326435,all,dengue
Mean Min Temp,class 1,0.528942406,non,dengue
Houses with floor of dirt,class 1,0.515564177,all,chkk
Houses without electricity,class 0,0.5221055170000001,non,zika
Houses with floor of dirt,class 0,0.5126339529999999,all,chkk
Altitude,class 0,0.087723306,non,chkk
Mean Max Temp,class 0,0.47582722200000005,all,dengue
Houses without electricity,class 0,0.024785393,non,chkk
Houses with floor of dirt,class 1,0.547311001,non,chkk
Houses without electricity,class 0,0.449082825,all,dengue
Illiteracy,class 0,0.80715283,all,chkk
Max mm/day,class 0,0.739330853,non,zika
Mean Max Temp,class 1,0.463511694,all,dengue
Population without health services,class 0,0.39347055299999995,all,dengue
Mean Max Temp,class 0,0.43573150899999996,all,dengue
Mean Max Temp,class 0,0.324759758,non,dengue
Houses without sewage,class 0,0.47085404700000005,non,dengue
Mean Temp,class 0,0.318479825,all,zika
Mean mm/day,class 1,0.170755365,all,chkk
Mean mm/day,class 1,0.394312406,non,dengue
Mean Max Temp,class 1,0.89671604,non,chkk
Mean Min Temp,class 0,0.371257761,all,dengue
Altitude,class 0,0.002386099,non,dengue
Mean mm/day,class 1,0.351960654,all,zika
Min mm/day,class 1,0.016525167,non,dengue
Mean Min Temp,class 1,0.34730463899999997,all,dengue
Houses without water pipelines,class 1,0.31347617,non,dengue
Altitude,class 0,0.028544836,all,dengue
Mean Max Temp,class 1,0.176434411,all,zika
Houses without water pipelines,class 0,0.396647675,non,zika
Houses without water pipelines,class 0,0.379571392,non,zika
Mean Min Temp,class 0,0.20612634300000002,all,zika
Houses with floor of dirt,class 1,0.163859143,non,zika
Mean Temp,class 1,0.033593557,non,zika
Mean Max Temp,class 0,0.475460835,all,dengue
Mean mm/day,class 0,0.301023945,all,zika
Houses without electricity,class 1,0.615720845,non,zika
Min mm/day,class 1,0.0061312319999999995,all,chkk
Houses without water pipelines,class 1,0.510880309,non,zika
Houses without sewage,class 0,0.47305646799999995,all,dengue
Altitude,class 0,0.132511515,all,chkk
Population without health services,class 1,0.333531637,all,dengue
Illiteracy,class 1,0.845935757,all,zika
Mean Min Temp,class 1,0.47869153,non,dengue
Houses without toilet,class 1,0.340195756,all,zika
Mean Temp,class 1,0.085702999,all,dengue
Houses without water pipelines,class 0,0.305755993,all,chkk
Mean mm/day,class 1,0.406269459,all,zika
Houses with floor of dirt,class 0,0.172205341,all,zika
Houses with floor of dirt,class 0,0.633609642,all,dengue
Population without health services,class 1,0.332375089,all,dengue
Houses without sewage,class 0,0.011812524,non,zika
Mean mm/day,class 1,0.22,all,chkk
Min mm/day,class 0,0.001,non,zika
Mean mm/day,class 1,0.421869306,non,zika
Houses without sewage,class 0,0.507664569,all,dengue
Min mm/day,class 1,0.068306015,non,chkk
Houses without water pipelines,class 1,0.586096955,all,zika
Population without health services,class 0,0.41375724799999997,non,zika
Houses without sewage,class 1,0.001,non,zika
Houses without sewage,class 1,0.385198802,all,chkk
Max mm/day,class 1,0.31966994,all,chkk
Max mm/day,class 0,0.25680263,all,dengue
Houses with floor of dirt,class 0,0.6739337479999999,all,dengue
Population without health services,class 0,0.41805349299999994,non,chkk
Mean Max Temp,class 0,0.21719903899999998,non,zika
Mean Temp,class 1,0.049554092,all,dengue
Houses without electricity,class 1,0.472532505,all,chkk
Houses without toilet,class 1,0.39100692200000003,all,zika
Mean mm/day,class 1,0.28903417600000003,all,dengue
Mean Min Temp,class 0,0.269828058,all,zika
Population without health services,class 1,0.376278758,non,zika
Houses without water pipelines,class 1,0.337172949,non,dengue
Max mm/day,class 0,0.744729623,non,zika
Altitude,class 1,0.001,all,dengue
Houses without sewage,class 0,0.18170216100000003,non,chkk
